No,論文名稱: Thesis Title (Chinese),論文英文: Thesis Title (English),研究生: Graduate Student,指導教授: Advisor / Thesis Supervisor,校院名稱: University / College Name,系所名稱: Department Name,學位類別: Degree Type,畢業學年度: Graduation Academic Year,論文出版年: Thesis Publication Year,被引用: Citations,點閱: Views,下載: Downloads,書目收藏: Bibliography Collection,URI
11,智慧QAC機制及其對真實情境中小學生幾何學習的影響,Smart QAC Mechanism and Its Influence  on Geometry Learning for Elementary School Students  in Authentic Contexts,Juli Hildayati,Yuin Hwang,國立中央大學,網路學習科技研究所,碩士,112,2024,0,7,0,0,https://hdl.handle.net/11296/m39339
12,明日閱讀2.0：發展成就目標系統並初步評估對學生閱讀廣度與數量之影響,Reading for Tomorrow 2.0: Developing Achievement Goal System and Initial Assessment of Its Impact on Students' Reading Breadth and Volume,許喬珉,陳德懷,國立中央大學,網路學習科技研究所,碩士,111,2023,0,125,0,0,https://hdl.handle.net/11296/x8ekar
13,探討不同獎懲機制對數位遊戲式英語單字學習的學習成效、遊戲成效、學習動機、學習觀感、科技接受度與行為模式之影響,"Effects of different reward and punishment mechanisms on learning performance, game performance, learning motivation, learning perception, technology acceptance and behavior patterns of digital game-based English vocabulary learning",林庭宇,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2023,0,150,0,0,https://hdl.handle.net/11296/xmhu67
14,探討不同獎章設計機制與先備能力對於英語口說學習成效、遊戲 成效、學習動機、學習觀感以及行為模式之影響—以線上角色扮 演遊戲為例,"Exploring the Effects of Different Badge Design Mechanisms and Prior  Ability on English Spoken Language Learning Performance, In-Game  Performance, Learning Motivation, Learning Perceptions, and Behavior  Patterns - An Example of Online Role-Playing Games",邱士瑋,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2023,0,83,0,0,https://hdl.handle.net/11296/27sat6
15,透過合作解題與教中學影片創製增進學生數學自我效能與興趣,Enhancing Self-Efficacy and Interest in Mathematics through Collaborative Problem Solving and Learning-by-Teaching via Video Creation,李應儒,陳德懷,國立中央大學,網路學習科技研究所,碩士,111,2023,0,75,0,0,https://hdl.handle.net/11296/m4ybp3
16,設計與評估「循環式問題創造」對於學生想法產出與寫作的影響,"Design and Evaluate the Impact of ""Circular Question Creation"" on Students' Idea Generation and Writing.",洪佳伶,陳德懷,國立中央大學,網路學習科技研究所,碩士,111,2023,0,40,0,0,https://hdl.handle.net/11296/yau8x8
17,專題導向學習與調節學習儀表板應用於資料視覺化在職課程,Applying Project-Based Learning and Self-regulated Learning Dashboard for Data Visualization Course in Continuing Education,鄭毓雯,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,111,2023,0,83,0,0,https://hdl.handle.net/11296/y5rgu9
18,發展數學成就目標系統並初步評估對增進興趣與自我效能的成效,Developing a Mathematical Achievement Goal System and Preliminary Evaluation of its Effects on Enhancing Interest and Self-Efficacy,楊承祐,陳德懷,國立中央大學,網路學習科技研究所,碩士,111,2023,0,40,0,0,https://hdl.handle.net/11296/k4m46a
19,結合視覺化儀表板之專案管理平台於在職學生專案能力與資料分析學習之影響,The Effects of Project Management Platform with Visual Dashboards on the Project Management Competencies and Data Analytics Learning of Working Students,游凱翔,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,111,2023,0,77,0,0,https://hdl.handle.net/11296/6sumdr
20,結合視覺化儀表板與合作腳本輔助VR共創活動以探討國小學童之學習行為、情感與認知參與,"Combining Visual Dashboard and Collaboration Script to Support VR Co-creation Activities to Assist Elementary Students’ Learning Behavioral, Emotional, and Cognitive Engagement",莊珉瑜,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,111,2023,0,102,0,0,https://hdl.handle.net/11296/swxyj5
21,結合重新設計之翻轉教室模型與視覺化分析系統對於程式設計學習之影響,Effects of Re-designed Flipped Learning Model and Visual Analytics System on Programming Learning,廖柏瑄,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,111,2023,0,60,0,0,https://hdl.handle.net/11296/8444kj
22,基於間隔效應與知識追蹤之適性化學習演算法系統設計與應用：以多益英語學習為例,Design and Application of an Adaptive Learning Algorithm System based on Spacing Effects and Knowledge Tracing: Case Study on TOEIC English Learning,徐世凡,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,111,2023,0,76,0,0,https://hdl.handle.net/11296/trnf4u
23,知識翻新導向的設計思考學習平台之開發與初步評估,Development and Preliminary Evaluation of Knowledge Building-Oriented Design Thinking Online Learning Platform,曾譯宏,吳穎沺,國立中央大學,網路學習科技研究所,碩士,111,2023,0,105,0,0,https://hdl.handle.net/11296/7ux67z
24,線上教師社群之知識翻新實踐：以臉書某線上同步教學社群為例,Knowledge Building Practices in a Online Synchronous Teaching Communitiy on Facebook,李亭萱,吳穎沺,國立中央大學,網路學習科技研究所,碩士,111,2023,0,64,0,0,https://hdl.handle.net/11296/n96e42
25,由線上圖片字典支援的全身反應迷你課程之設計與實施,Design and Implementation of Total Physical Response  Mini-Lessons Supported by Online Picture Dictionary,Siti sulikatin,陳德威,國立中央大學,網路學習科技研究所,碩士,111,2023,0,25,1,0,https://hdl.handle.net/11296/37yzv4
26,XoT（Xducation of Things）：利用人工智能和邊緣計算教育萬物——學習者英語寫作和智能問答互動知識庫構建的實證研究,XoT (Xducation of Things): Harnessing AI and edge computing to educate all things –Empirical studies for EFL writing of learners and knowledge base building of things with smart Q&A interactions,魯里歐,黃武元,國立中央大學,網路學習科技研究所,博士,111,2023,0,144,0,0,https://hdl.handle.net/11296/8w2664
27,探討數位遊戲式學習環境中獎章機制對輔助金融從業人員英語學習之影響,Investigation of the Effects of Digital Badge Mechanisms on Financial Practitioners’ English Learning in Digital Game-Based Learning,吳易珊,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2023,0,78,0,0,https://hdl.handle.net/11296/87y74n
28,線上合作討論學習平台之開發與初步評估,Development and Preliminary Evaluation of Online Collaborative Discussion Learning Platform,霍佳立,吳穎沺,國立中央大學,網路學習科技研究所,碩士,111,2023,0,57,12,0,https://hdl.handle.net/11296/kwd2nb
29,自我導向科學探究學習歷程平台之開發與初步評估,Development and Preliminary Evaluation of Self-direct Learning E-Portfolios Platform for Science Inquiry,康家豪,吳穎沺,國立中央大學,網路學習科技研究所,碩士,111,2023,0,62,17,0,https://hdl.handle.net/11296/r322m8
30,探討數位遊戲式學習中不同獎勵機制與先備能力對金融從業人員英語詞彙學習的影響,Exploring the Influences of Different Reward Mechanisms and Prior Abilities on Financial Practitioners’ English Vocabulary Learning,蔡嘉儀,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2023,0,64,0,0,https://hdl.handle.net/11296/47p822
31,面對面合作討論平台之開發與初步評估,Development and Preliminary Evaluation of a Face-to-Face Collaborative Discussion Platform,賴志光,吳穎沺,國立中央大學,網路學習科技研究所,碩士,111,2022,0,46,5,0,https://hdl.handle.net/11296/j5bfdx
32,探討視覺思考策略於互動式數位視覺藝術鑑賞學習系統之影響,Effects of Visual Thinking Strategy on an Interactive Digital Visual Art Appreciation Learning System,彭圓惠,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2023,0,226,0,0,https://hdl.handle.net/11296/brje6q
33,探討在情境化與個人化下以智能QAC機制促進EFL寫作,Smart QAC Mechanism to Facilitate EFL  Writing in Contextualization and  Personalization,賴昱夫,黃武元,國立中央大學,網路學習科技研究所,碩士,111,2023,0,35,0,0,https://hdl.handle.net/11296/fh75m5
34,在真實情境下結合圖像與位置辨識促進英文寫作,Facilitating EFL Writing with Image and Location Recognitions in Authentic Context,潘思羽,黃武元,國立中央大學,網路學習科技研究所,碩士,111,2023,0,47,0,0,https://hdl.handle.net/11296/44ergk
35,探討智慧回饋如何影響學習時眼動和觸控 操作的表現-以 Covid-19 快篩模擬為例,An investigation of a touch-based eye-tracking system with smart feedback and its influences on learning - Simulation of Covid-19 rapid test system,王天誠,黃武元,國立中央大學,網路學習科技研究所,碩士,111,2023,0,47,0,0,https://hdl.handle.net/11296/yc7qz7
36,絲路史地數位遊戲之 玩家動機、策略與歷史素養分析,"Analysis of Player Motivation, Strategy and  Historical Literacy in the Digital Game of Silk  Road History and Geography",胡家郡,施如齡,國立中央大學,網路學習科技研究所,碩士,111,2022,0,71,0,0,https://hdl.handle.net/11296/r2umbk
37,探討數位遊戲式學習複習方式對高中生在丙級電腦硬體組裝虛擬實境課程之影響,Exploring the Effects of Using Digital Game-Based Learning as a Review Method on High School Students' Virtual Reality based Level C Computer Hardware Fabrication Course,周芳欣,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2023,0,100,0,0,https://hdl.handle.net/11296/4r4869
38,知識翻新導向的數位說故事活動對國小三年級學生口語敘事表達能力之影響,The Impact of Digital Storytelling Activities Based on Knowledge Building Oriented on Oral Narrative Skills of Third-Grade Elementary School Students,洪米丁,吳穎沺,國立中央大學,網路學習科技研究所,碩士,111,2023,0,72,0,1,https://hdl.handle.net/11296/h332ja
39,Bebras Challenge融入數位遊戲<Captain Bebras>系統之學生運算思維能力分析,The Analysis of Students' Computational Thinking Ability by Bebras Challenge in the Digital Game System <Captain Bebras>,陳彥銘,施如齡,國立中央大學,網路學習科技研究所,碩士,111,2022,0,96,0,0,https://hdl.handle.net/11296/f8adrn
40,文化美感教育桌遊＜金色絲路＞對小學生 美感鑑賞素養與文化認知之學習分析影響,"Learning Analysis of Cultural Aesthetic Education Board Game ""The Golden Silk Road"" on Elementary Students' Aesthetic Appreciation and Cultural Awareness.",王欣茹,施如齡,國立中央大學,網路學習科技研究所,碩士,111,2022,0,85,0,1,https://hdl.handle.net/11296/9semfn
41,線上歷史探究系統對中學生歷史思維與探究學習成效分析,Analysis of the Learning Effectiveness of an Online Historical  Inquiry System on Secondary School Students' Historical  Thinking and Inquiry,郭正謙,施如齡,國立中央大學,網路學習科技研究所,碩士,111,2022,0,52,0,0,https://hdl.handle.net/11296/3gk4m8
42,科技融入幼兒生命教育繪本之學習、興趣、歷程與成效,"Integrating Technology into the Learning, Interest, Process and Effectiveness of Children's Life Education Picture Books.",莊翌琳,施如齡,國立中央大學,網路學習科技研究所,碩士,111,2022,0,75,0,0,https://hdl.handle.net/11296/pb8x2e
43,情境議題式策略遊戲平台的開發與評估,Development and Evaluation of Online Gaming Platform for Scenario Issue-based Strategic Game,劉封龍,施如齡,國立中央大學,網路學習科技研究所,碩士,111,2022,0,41,0,0,https://hdl.handle.net/11296/u5wg54
44,機械戰馬：連桿仿生機器人之開發及教學設計與運算思維表現評估,The Mechanical Warhorse: Development of Linkage Bionic Robots and Instructional Design and Evaluation of Computational Thinking,陳宣文,施如齡,國立中央大學,網路學習科技研究所,碩士,111,2023,0,34,0,0,https://hdl.handle.net/11296/kuwc86
45,探討數位遊戲式學習環境中不同個體差異與回饋形式對國小自然領域學習之影響,Effects of Individual Differences and Feedback  Types on Elementary School Students’ Science  Learning in a DGBL Environment,楊舒涵,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2023,1,111,0,1,https://hdl.handle.net/11296/fwh9r9
46,遊戲化和自我反思機制對印度尼西亞小學生英語詞彙學習的影響,The Effects of Gamification and Self-reflection Mechanisms on English Vocabulary Learning for Indonesian Elementary School Students,欣塔,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2023,0,66,0,0,https://hdl.handle.net/11296/xexbe2
47,以知識結構為基礎的適性學習平台之開發與初步評估,Development and Preliminary Evaluation of an “Knowledge-Structure-Based Adaptive Learning System”,吳承鴻,吳穎沺,國立中央大學,網路學習科技研究所,碩士,111,2023,0,113,31,0,https://hdl.handle.net/11296/jusawn
48,基於「設計思考」之專題學習系統之開發與初步評估,The Development and Preliminary Evaluation of an Online Project-Based Learning System Based on Design Thinking,吳家宇,吳穎沺,國立中央大學,網路學習科技研究所,碩士,111,2023,0,82,0,1,https://hdl.handle.net/11296/m5wp74
49,複合式領地桌遊之學習者人格特質與歷史思維分析,The Analysis of Personality Traits and Historical Thinking with Territorial Complex Board Game,林宜臻,施如齡,國立中央大學,網路學習科技研究所,碩士,111,2023,1,106,0,0,https://hdl.handle.net/11296/2pymf2
50,閱讀能力與遊戲經驗對國小學生閱讀動機、遊戲動機、感知及遊戲成就的影響：以閱讀遊戲為例,"Effects of Reading Ability and Gaming Experience on Elementary Students’ Reading Motivation, Gaming Motivation, Perceptions, and In-Game Achievements: A Case of Mobile Game for Reading",郭文琦,楊接期,國立中央大學,網路學習科技研究所,博士,111,2023,0,150,0,1,https://hdl.handle.net/11296/23r3r6
51,系統思維框架下的計算建模學習與教學法,The learning of computational modeling based on systems thinking pedagogical framework,温采婷,劉晨鐘,國立中央大學,網路學習科技研究所,博士,111,2022,0,162,0,0,https://hdl.handle.net/11296/836h5t
52,探討遊戲化機制、先備知識及性別對日語聽力學習成效、學習動機、學習感知及遊戲成效之影響,"Effects of Gamification, Prior Knowledge and Gender on Japanese Listening Performance, Learning Motivation, Learning Perception and Game Performance",陳勝明,楊接期,國立中央大學,網路學習科技研究所,碩士,111,2022,0,121,0,0,https://hdl.handle.net/11296/hwkk6m
53,從先備知識的角度探討整合鷹架輔助與競爭式英語學習之影響,An Investigation of Incorporating Scaffolding Instruction into Competitive English Learning Contexts: A Prior Knowledge Perspective,蕭資峻,陳攸華,國立中央大學,網路學習科技研究所,碩士,110,2022,0,149,0,0,https://hdl.handle.net/11296/w54p83
54,探討數位遊戲式學習情境中不同表現目標導向對於大學生日語擬聲擬態詞的學習成效、遊戲成效、自我效能、學習觀感及行為模式之影響,"Effects of Different Performance Goal Orientations in a Digital Game-based Learning Context: Investigating University Students' Learning Performance, In-Game Performance, Self-efficacy, Learning Perceptions, and Behavior Patterns of Japanese Onomatopoeic",彭立欣,楊接期,國立中央大學,網路學習科技研究所,碩士,110,2022,0,239,0,0,https://hdl.handle.net/11296/7wnch8
55,在真實情境下結合多重辨識技術與5W1H鷹架促進英文寫作並探討其對學習的影響,Investigation of Multiple Recognition Technology with 5W1H Scaffolding to Facilitate EFL Writing and the Influences on Learning in Authentic Contexts,金琪潔,黃武元,國立中央大學,網路學習科技研究所,碩士,110,2022,0,256,0,0,https://hdl.handle.net/11296/tt229p
56,以深度知識追蹤模型應用於程式學習系統,Application of Deep Knowledge Tracing Model to Support Programming Learning System,李秉翰,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,110,2022,0,155,0,0,https://hdl.handle.net/11296/ftnr84
57,強調後設認知的數學解題歷程學習平台之開發與初步評估,Development and Preliminary Evaluation of an Emphasizing Metacognitive Online Platform for Mathematical Problem-Solving Process,林依槿,吳穎沺,國立中央大學,網路學習科技研究所,碩士,110,2022,0,111,0,0,https://hdl.handle.net/11296/m9y5b4
58,探討不同獎懲機制對數位遊戲式英語翻譯技巧學習之學習成效、遊戲成效、學習觀感與行為模式之影響,"Effects of different reward and punishment mechanisms on learning performance, in-game performance, learning perception and behavior patterns of digital game-based English translation techniques learning",蘇小容,楊接期,國立中央大學,網路學習科技研究所,碩士,110,2022,0,122,1,0,https://hdl.handle.net/11296/aa2bcu
59,從認知風格的角度探討愉悅型英語邏輯學習的影響,An Investigation of the Influences of Entertaining English Logic Learning: A Cognitive Style Perspective,陳建宇,陳攸華,國立中央大學,網路學習科技研究所,碩士,110,2022,0,97,0,0,https://hdl.handle.net/11296/ay3s73
60,提升式寫作：設計說明文寫作策略之鷹架以逐步提升學生寫作表現,Betterment-Driven Writing: Designing Scaffolds of Expository Writing Strategies to Progressively Improve Students' Writing Performance,廖紹儒,陳德懷,國立中央大學,網路學習科技研究所,碩士,110,2022,0,168,0,0,https://hdl.handle.net/11296/ztyt57
61,探討數位遊戲式學習情境中不同獎懲機制對於大學生日語助詞的學習成效、遊戲成效、學習動機、學習觀感及行為模式之影響,"Effects of Different Reward and Punishment Mechanisms in a Digital Game-based Learning Context: Investigating University Students' Learning Performance, In-Game Performance, Learning Motivation, Learning Perceptions, and Behavior Patterns of Japanese Particles",吳明珍,楊接期,國立中央大學,網路學習科技研究所,碩士,110,2022,1,178,0,0,https://hdl.handle.net/11296/3hpdvr
62,數學教中學：影片創製與跨校登臺,Mathematic Learning-by-teaching: Video Creation and Cross-Schools Staging,王姝涵,陳德懷,國立中央大學,網路學習科技研究所,碩士,110,2022,1,145,0,0,https://hdl.handle.net/11296/qvtkq8
63,促進教師成為閱讀個人教練之初步模式設計與系統開發,Design and development of a model and system prototype for supporting teachers to become personal reading coaches,丁延欣,陳德懷,國立中央大學,網路學習科技研究所,碩士,110,2022,1,79,0,0,https://hdl.handle.net/11296/b2p8qm
64,探討智慧回饋輔助真實情境EFL學習與其對學習成效、延續性與擴充性之影響,none,黃璿恩,"黃武元
劉奕帆",國立中央大學,網路學習科技研究所,碩士,110,2022,0,118,0,0,https://hdl.handle.net/11296/xp62e3
65,基於文本型程式編寫紀錄之自我調節儀表板於程式設計學習成效探究,A Study of Applying Self-Regulation Dashboard Based on Text-based Programming Log to Enhance rogramming  Learning,羅健瑋,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,110,2022,1,106,0,0,https://hdl.handle.net/11296/3nz7xu
66,視覺化閱讀歷程系統於國小身教式持續安靜閱讀之應用,Application of Visual Reading Portfolio System to Enhance Modeled Sustained Silent Reading in Elementary School,鍾衍震,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,110,2022,0,116,0,1,https://hdl.handle.net/11296/j4gk82
67,基於知識翻新理論的數位說故事活動對國小高年級學生非形式推理思考表現與數位說故事表現之影響-以基因改造食物為例,The influence of digital storytelling activities on the informal reasoning thinking performance and digital storytelling performance of senior elementary school students based on the theory of knowledge buliding -taking genetically modified foods as an example,黃紹芊,吳穎沺,國立中央大學,網路學習科技研究所,碩士,110,2022,0,112,0,0,https://hdl.handle.net/11296/3yu6m7
68,基於知識翻新理論的合作論證學習活動對於國小高年級學生英語議論文寫作表現之影響：以基因改造食品議題為例,Improving Elementary School Students' English Argumentative Writing Performance through Knowledge Building and Collaborative Argumentative Activities. Take Genetic Modification Food as an Example.,林宛萱,吳穎沺,國立中央大學,網路學習科技研究所,碩士,110,2022,0,82,0,1,https://hdl.handle.net/11296/ykc84r
69,基於知識翻新理論的合作論證教學對國小高年級學生以社會性科學議題為主題的議論文寫作表現之影響,The influence of cooperative argumentation teaching based on knowledge building theory on the writing performance of argumentative essays on socio-scientific issues for senior elementary school students,阮郁源,吳穎沺,國立中央大學,網路學習科技研究所,碩士,110,2022,0,121,0,0,https://hdl.handle.net/11296/hrnsa8
70,結合聊天機器人與推薦系統之閱讀學伴應用於國小閱讀,Implementation of a Reading Companion System Integrating Chatbot and Book Recommendations to Support Elementary Students' Reading,鄭博晏,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,110,2022,2,199,0,0,https://hdl.handle.net/11296/43843q
71,結合社會調節學習平台與教中學課程設計以增進大學生視覺化資料分析能力與調節學習,Effects of a Social Regulation-based Learning Platform and Learning by Teaching Pedagogy on Visual Analysis Skills and Regulated Learning,呂昆珉,洪暉鈞,國立中央大學,網路學習科技研究所,碩士,110,2022,2,97,0,0,https://hdl.handle.net/11296/7e6sxr
72,以想法為中心的多維度跨域專題學習平台之開發與初步評估,Development and Preliminary Evaluation of an Idea-Centered Multidimensional Online Learning Platform for Interdisciplinary Project-based Learning,陳又齊,吳穎沺,國立中央大學,網路學習科技研究所,碩士,110,2022,2,127,0,0,https://hdl.handle.net/11296/3kzhtw
73,線上議題遊戲系統之遊戲行為與互動歷程探討,The Investigation of Gaming Behaviors and Interaction Processes with Online Issue-based Gaming System,洪耕德,施如齡,國立中央大學,網路學習科技研究所,碩士,110,2022,2,195,0,1,https://hdl.handle.net/11296/m6eraq
74,台灣地形遊戲教育中的沙盒擴增實境系統設計與評估,Sandbox Augmented Reality System Design and Evaluation in Terrain Game Education in Taiwan,楊宏明,施如齡,國立中央大學,網路學習科技研究所,碩士,110,2022,1,334,51,3,https://hdl.handle.net/11296/68w74z
75,線上議題探究系統之探究能力分析,The Analysis of Inquiry Ability with Online Issue-based  Inquiry System,盧昱豪,施如齡,國立中央大學,網路學習科技研究所,碩士,110,2022,1,141,0,1,https://hdl.handle.net/11296/c8257r
76,<亞米大陷阱>數位學習營養教育遊戲對臺灣飲食營養價值學習成效之探討,Learning Effectiveness of <Yummy Trap> Digital Game-based System for Learning Taiwan Food Nutritional Value Education,李鴻明,施如齡,國立中央大學,網路學習科技研究所,碩士,110,2022,0,314,78,1,https://hdl.handle.net/11296/yeumu4
77,運用均一教育平台於國中資源班學生數學學習之研究,The effect of using the Junyi Academy Platform on students' mathematics learning in middle school resource classes,華小芳,施如齡,國立中央大學,網路學習科技研究所,碩士,110,2022,1,350,115,0,https://hdl.handle.net/11296/f9rgvz
78,探討個人化、情境化及社會化的智慧機制 輔助真實情境國小幾何學習與其對學習成效之影響,"Investigation of Smart Mechanisms of Personalization, Contextualization and Socialization for Facilitating Geometry Learning with Authentic Contextual Support",林宜靜,黃武元,國立中央大學,網路學習科技研究所,碩士,110,2022,0,114,0,0,https://hdl.handle.net/11296/56sekz
79,The Effect of Collaborative Kinesthetic Mechanisms to Enhance English Learning of Vocational High School Students in Taiwan,The Effect of Collaborative Kinesthetic Mechanisms to Enhance English Learning of Vocational High School Students in Taiwan,真鍋均之介,黄武元,國立中央大學,網路學習科技研究所,博士,110,2022,0,76,0,0,https://hdl.handle.net/11296/6vbxhz
80,Developing and Validating the Questionnaire and Its Model for Sustainable and Scalable Authentic Contextual Learning Supported by Mobile Apps,Developing and Validating the Questionnaire and Its Model for Sustainable and Scalable Authentic Contextual Learning Supported by Mobile Apps,嚴烏納,黃武元,國立中央大學,網路學習科技研究所,博士,110,2021,0,157,0,0,https://hdl.handle.net/11296/yb8tq8
81,性別差異對數位遊戲式英語學習的影響,The Influences of Gender Differences on Digital Game-based English Learning,郭佳翰,陳攸華,國立中央大學,網路學習科技研究所,碩士,110,2022,0,161,0,0,https://hdl.handle.net/11296/j7x9m4
82,英文單字樂園：強化系統設計與實作及初步測試,"Vocabulary playground：Enhancing system design and implementation, and trial test",朱修義,陳懷德,國立中央大學,網路學習科技研究所,碩士,110,2021,0,164,0,0,https://hdl.handle.net/11296/a5yh4p
83,趣創者理論應用於職業訓練以培養創造力之行動研究,An Action Research on Interest-Driven Creator Theory Applied to Vocational Training to Develop Creativity,楊健裕,陳德懷,國立中央大學,網路學習科技研究所,碩士,110,2021,0,307,11,0,https://hdl.handle.net/11296/p252sf
84,MSSR 主題閱讀模組對國中生故事創 作之影響,Towards a Framework of Learning English Reading and Writing in Taiwanese Junior High Schools 研究生：黃郁鈴 指導,黃郁鈴,陳德懷,國立中央大學,網路學習科技研究所,碩士,109,2021,0,153,0,1,https://hdl.handle.net/11296/ghhr8q
85,探討企業中資訊系統管理人員對於使用異常知識管理系統之行為使用意向相關影響因素分析,Factors influencing behavioral usage intention of the system administrator in enterprise to use this Exception Knowledge Management System,張佳榮,劉晨鐘,國立中央大學,網路學習科技研究所,碩士,109,2021,2,137,14,0,https://hdl.handle.net/11296/5y4d64
86,探討獎章機制與英語發音能力對英語發音學習成效、遊戲成效、學習動機、遊戲心流及行為模式之影響──以大型多人線上角色扮演遊戲為例,"Effects of Digital Badge Mechanisms and English Pronunciation Ability on English Pronunciation Performance, Gaming Performance, Learning Motivation, Gaming Flow and Behavioral Patterns: A Case of MMORPG",彭琮樺,楊接期,國立中央大學,網路學習科技研究所,碩士,109,2021,4,265,0,0,https://hdl.handle.net/11296/n9n24j
87,探討數位遊戲式學習環境中不同表現目標導向對於大學生日語自他動詞的學習成效、遊戲成效、自我效能、害怕失敗、學習觀感及行為模式之影響,"Effects of Different Performance Goal Orientations on University Students' Learning Performance, Game Performance, Self-efficacy, Fear of Failure, Learning Perceptions, and Behavior Patterns of Japanese Intransitive and Transitive verbs in Digital Game-based Learning Environment",廖怡晴,楊接期,國立中央大學,網路學習科技研究所,碩士,109,2021,4,284,0,0,https://hdl.handle.net/11296/7fm3bs
